idx,stem,human_label,y_bad,defects_raw,p_bad,threshold,pool_size,err_type,dim_stiff,dim_fidelity,dim_jerky,dim_physics,dim_limbs_frozen,dim_impossible_obj,dim_temporal_consist,dim_motion_discont,dim_size_change,dim_frame_jump,def_impossible_obj,def_size_change,def_frame_jump,def_physics,def_fidelity
51,130def6a779c05c38e0e3b5eadee7c17,bad,1,物理规律,0.0055,0.1481,600,漏检FN,0.023,0.1017,0.2964,0.0914,0.1192,0.0003,0.1017,0.0338,0.0007,0.0675,0,0,0,1,0
52,7db2d6511e29a46a252cafcabf090001,good,0,,0.0074,0.1481,600,,0.0141,0.2039,0.3396,0.1114,0.0293,0.0001,0.2039,0.0477,0.0001,0.0953,0,0,0,0,0
53,9e5738dac667168b236a438572a58b43,good,0,,0.0203,0.1481,600,,0.0,0.1347,0.1604,0.1471,0.0009,0.0001,0.1347,0.0534,0.0012,0.1067,0,0,0,0,0
54,dd6c31335e97c68c0dd8252b84da9352,good,0,,0.1483,0.1481,600,误杀FP,0.0003,0.0824,0.25,0.1009,0.0032,0.0,0.0824,0.1604,0.0009,0.3208,0,0,0,0,0
55,2a2cc87d6709bfbd6d48e103b08e06a1,good,0,,0.0074,0.1481,600,,0.0009,0.0468,0.1744,0.0665,0.0052,0.0001,0.0468,0.0301,0.0001,0.0601,0,0,0,0,0
56,939c3e8635009a822f48fa7597d87571,bad,1,"还原度, 物理规律",0.0016,0.1481,600,漏检FN,0.0086,0.0483,0.219,0.1229,0.0474,0.0007,0.0483,0.0268,0.0086,0.0534,0,0,0,1,1
57,1df69787eec4647f2ef8596b03c5ba77,good,0,,0.0437,0.1481,600,,0.0041,0.3397,0.2811,0.2966,0.0759,0.0006,0.3397,0.1345,0.0003,0.2689,0,0,0,0,0
58,0ce36f6af09d12cdf033b7df7f1c944d,good,0,,0.0219,0.1481,600,,0.0,0.0379,0.3529,0.25,0.0032,0.0,0.0379,0.0912,0.0,0.1824,0,0,0,0,0
59,28441bf22c31a05db9f581637f49283f,good,0,,0.0191,0.1481,600,,0.0052,0.2976,0.3397,0.3257,0.018,0.0,0.2976,0.101,0.0002,0.2018,0,0,0,0,0
60,0569edf094510badc3f16c11d0b09925,good,0,,0.0,0.1481,600,误杀FP,0.0,0.0665,0.1888,0.7773,0.011,0.7773,0.0665,0.0477,0.0009,0.0953,0,0,0,0,0
61,01609fa316c492f52da8ab90afd4495c,good,0,,0.0,0.1481,600,,0.0009,0.0381,0.0912,0.074,0.0032,0.0,0.0381,0.0338,0.0002,0.0675,0,0,0,0,0
62,a21a0e89f4d6db0cccfd5a7cbf0e2cc4,good,0,,0.0296,0.1481,600,,0.0067,0.1117,0.2656,0.0823,0.0759,0.0,0.1117,0.0301,0.0,0.0601,0,0,0,0,0
63,e06f0735635571a365fd4c7e1fe04739,good,0,,0.0258,0.1481,600,,0.0,0.0825,0.2811,0.4773,0.0025,0.1192,0.0825,0.0665,0.0007,0.133,0,0,0,0,0
64,25a2d4ecc1405c2bcc5c15a4b05fe2dd,good,0,,0.1509,0.1481,600,误杀FP,0.0953,0.0395,0.2189,0.0381,0.3775,0.0004,0.0395,0.0426,0.0001,0.0851,0,0,0,0,0
65,e3c49959cb3396be679c49fe22337f72,good,0,,0.0097,0.1481,600,,0.0012,0.051,0.25,0.2501,0.023,0.0003,0.051,0.0596,0.0007,0.1192,0,0,0,0,0
66,527456dc732a70f56929773bb6a0c1c8,good,0,,0.0167,0.1481,600,,0.023,0.1487,0.2189,0.3114,0.0141,0.0003,0.1487,0.0912,0.0012,0.1824,0,0,0,0,0
67,d46428a431b1c13d32e161e7bc0960be,good,0,,0.0479,0.1481,600,,0.0601,0.1904,0.3655,0.3112,0.1824,0.0,0.1904,0.0823,0.0004,0.1645,0,0,0,0,0
68,5dcd54ee2c33289cb14e76736b993add,good,0,,0.0242,0.1481,600,,0.0007,0.0379,0.2811,0.0928,0.0086,0.0032,0.0379,0.0596,0.0003,0.1192,0,0,0,0,0
69,4c02e27dd8c6d36492548e3af6c7f747,good,0,,0.0214,0.1481,600,,0.0474,0.0666,0.2811,0.1226,0.1824,0.0001,0.0666,0.0301,0.0006,0.0601,0,0,0,0,0
70,a17c0a0cd2e6a81dbc934e3958aede27,good,0,,0.0,0.1481,600,,0.0002,0.1638,0.2656,0.2501,0.0067,0.0002,0.1638,0.0477,0.0,0.0953,0,0,0,0,0
71,96fe54878560f0feb8600423637358be,good,0,,0.0088,0.1481,600,,0.0003,0.0597,0.2344,0.1114,0.0019,0.0,0.0597,0.0665,0.0012,0.133,0,0,0,0,0
72,983124d4095250930bc3a33470fb8757,good,0,,0.0193,0.1481,600,,0.0086,0.075,0.2038,0.0596,0.0373,0.0001,0.075,0.0268,0.0002,0.0534,0,0,0,0,0
73,e9c65f6c4e235c3101732ec5b62fca45,good,0,,0.0,0.1481,600,,0.0009,0.031,0.1471,0.1227,0.018,0.0003,0.031,0.0267,0.0067,0.0534,0,0,0,0,0
74,a8a4f68aada0b3d0a6ec250d6273a519,good,0,,0.0123,0.1481,600,,0.0,0.0477,0.2656,0.1888,0.0009,0.0,0.0477,0.0823,0.0,0.1645,0,0,0,0,0
75,fbe05e31951ffd55086cba7f824cb701,good,0,,0.0,0.1481,600,,0.0006,0.1475,0.2344,0.074,0.0086,0.0,0.1475,0.0267,0.0001,0.0534,0,0,0,0,0
76,c7109628fdb45e56a1a8d2da66f75981,good,0,,0.0,0.1481,600,,0.0012,0.0247,0.1226,0.0596,0.0067,0.0001,0.0247,0.0211,0.0006,0.0421,0,0,0,0,0
77,e58604ddbfcf329f6c5a654b95d23347,good,0,,0.0,0.1481,600,,0.0,0.0823,0.2963,0.2037,0.0041,0.0,0.0823,0.0426,0.0002,0.0851,0,0,0,0,0
78,119a2a6bc29c0ee69102f71bbfa70808,good,0,,0.0,0.1481,600,,0.0002,0.0426,0.2189,0.048,0.0141,0.0006,0.0426,0.0301,0.0001,0.0601,0,0,0,0,0
79,e13afd31650cb8d2df79816bfde1d6ec,good,0,,0.0,0.1481,600,,0.0015,0.1472,0.3112,0.3531,0.0141,0.0003,0.1472,0.074,0.0001,0.148,0,0,0,0,0
80,7ee63ad38026c5959f7f4e46cf9ca80a,good,0,,0.0139,0.1481,600,,0.0141,0.1015,0.2189,0.1604,0.0373,0.0001,0.1015,0.0426,0.0002,0.0851,0,0,0,0,0
81,f44af20c8ad4cfc8b5741616a2974887,good,0,,0.0,0.1481,600,,0.0001,0.038,0.1114,0.1009,0.0032,0.0,0.038,0.0477,0.011,0.0953,0,0,0,0,0
82,4139dda521b6a611c491b363d8667b08,good,0,,0.0,0.1481,600,,0.0067,0.0698,0.25,0.0665,0.0759,0.0001,0.0698,0.0912,0.0009,0.1824,0,0,0,0,0
83,783f47f686ffddd8463123579f1439c8,good,0,,0.0073,0.1481,600,,0.0015,0.1345,0.2811,0.353,0.0067,0.0001,0.1345,0.1009,0.0003,0.2018,0,0,0,0,0
84,92ea83f16b9ff11179316888cfcf2e3c,good,0,,0.0,0.1481,600,,0.0,0.1471,0.2037,0.1226,0.0009,0.0,0.1471,0.0823,0.0,0.1645,0,0,0,0,0
85,cd840a25cb823f077345bc654558ba79,good,0,,0.0146,0.1481,600,,0.0067,0.1123,0.3257,0.2039,0.0601,0.0004,0.1123,0.0823,0.0012,0.1645,0,0,0,0,0
86,b3948582411dbe9a2a65ddd76f1c1323,good,0,,0.0,0.1481,600,,0.011,0.024,0.1226,0.1226,0.3208,0.0001,0.024,0.0211,0.0009,0.0421,0,0,0,0,0
87,05ed65a4e70a08dcec64290091e8eeed,good,0,,0.0,0.1481,600,,0.0002,0.0379,0.2656,0.0742,0.0032,0.0004,0.0379,0.0596,0.0001,0.1192,0,0,0,0,0
88,54b96f25a451b83de9a02e9d3d958c28,good,0,,0.0079,0.1481,600,,0.0025,0.0427,0.3396,0.2037,0.0086,0.0001,0.0427,0.0477,0.0003,0.0953,0,0,0,0,0
89,a3d19fe7488507fd342d7a8443e3be1c,good,0,,0.0,0.1481,600,,0.0002,0.1229,0.25,0.1009,0.011,0.0,0.1229,0.074,0.0003,0.148,0,0,0,0,0
90,137d8a7c0dc7b6999e9bb8284e03f0eb,good,0,,0.02,0.1481,600,,0.0006,0.0543,0.3112,0.1471,0.0141,0.0001,0.0543,0.0379,0.0002,0.0759,0,0,0,0,0
91,8e7b377f8ecae7e59fd9b3521820a093,good,0,,0.0871,0.1481,600,,0.023,0.1126,0.2811,0.1114,0.0373,0.0,0.1126,0.074,0.0003,0.148,0,0,0,0,0
92,631ae42f3bba5a14f66122009e896a0e,good,0,,0.0077,0.1481,600,,0.0025,0.2107,0.2656,0.2037,0.011,0.0,0.2107,0.0823,0.0003,0.1645,0,0,0,0,0
93,71620e287d0a0863e0676536fccc73fa,good,0,,0.0114,0.1481,600,,0.0032,0.0446,0.3991,0.1612,0.0601,0.0015,0.0446,0.074,0.0004,0.148,0,0,0,0,0
94,2a7b9265becbfb18214217582436729f,good,0,,0.0723,0.1481,600,误杀FP,0.0001,0.2346,0.3655,0.1888,0.0373,0.0002,0.2346,0.0823,0.0001,0.1645,0,0,0,0,0
95,b2c8538be2a53dcbacac0e086148f7c8,good,0,,0.0037,0.1481,600,,0.0003,0.0477,0.2189,0.161,0.0141,0.0012,0.0477,0.0596,0.0001,0.1192,0,0,0,0,0
96,935883494d7922c3f7fb3d3aa1a976cd,good,0,,0.0,0.1481,600,,0.0,0.2037,0.2656,0.1604,0.0003,0.0001,0.2037,0.074,0.0003,0.148,0,0,0,0,0
97,03b3ee6e81950da86c455e6736139cc0,good,0,,0.0143,0.1481,600,,0.0012,0.0446,0.3655,0.2037,0.023,0.0,0.0446,0.1114,0.0,0.2227,0,0,0,0,0
98,79a7dbf04c21d0b32d0f5dc81b6f7bf2,good,0,,0.0,0.1481,600,,0.018,0.043,0.2656,0.038,0.0293,0.0002,0.043,0.0338,0.0012,0.0675,0,0,0,0,0
99,25a1581dd2b21dadf9cfce62fe865ff6,good,0,,0.0316,0.1481,600,,0.0032,0.0756,0.3396,0.1604,0.023,0.0,0.0756,0.0665,0.0007,0.133,0,0,0,0,0
100,92565a4b9f01cc1d653983d32283c5aa,good,0,,0.0,0.1481,600,,0.0007,0.0824,0.2964,0.1471,0.0067,0.0,0.0824,0.0477,0.0002,0.0953,0,0,0,0,0
101,7f8a4c152eb0dde567fcc2fcc90c60a0,good,0,,0.0043,0.1481,600,,0.023,0.0741,0.3257,0.0596,0.1824,0.0,0.0741,0.0267,0.0002,0.0534,0,0,0,0,0
102,aad901b910ff4fe4f04636f9be4f6372,good,0,,0.0116,0.1481,600,,0.0032,0.2813,0.2656,0.3283,0.0141,0.0052,0.2813,0.1114,0.0032,0.2227,0,0,0,0,0
103,ff91f5eb0336eaf9a75c9a6f5c93ea41,good,0,,0.0064,0.1481,600,,0.0,0.0665,0.3112,0.2189,0.0032,0.0,0.0665,0.0665,0.0,0.133,0,0,0,0,0
104,179793aaeade414668482909f0296872,good,0,,0.0228,0.1481,600,,0.0001,0.1345,0.2344,0.2344,0.0032,0.0,0.1345,0.0665,0.0001,0.133,0,0,0,0,0
105,a0acf9b009b13a2ecb3abd762787c569,good,0,,0.0207,0.1481,600,,0.0003,0.0596,0.3775,0.1888,0.011,0.0,0.0596,0.0912,0.0,0.1824,0,0,0,0,0
106,4e327e46cd4abd7e2bfad16e10a99d48,good,0,,0.0043,0.1481,600,,0.0012,0.0932,0.2811,0.0912,0.023,0.0,0.0932,0.074,0.0001,0.148,0,0,0,0,0
107,78d473d0d4d7db114e300eef12bc9733,bad,1,"还原度, 大小变化",0.0209,0.1481,600,漏检FN,0.0293,0.0698,0.2657,0.1745,0.0759,0.0004,0.0698,0.0742,0.0052,0.148,0,1,0,0,1
108,9cb40f60787d1f0cc12def89424ecc54,good,0,,0.0,0.1481,600,,0.0007,0.0486,0.2811,0.0477,0.148,0.0,0.0486,0.0534,0.0002,0.1067,0,0,0,0,0
109,1db06f44605e298583d31a3cc514e137,good,0,,0.0478,0.1481,600,,0.0601,0.0275,0.1744,0.0478,0.2227,0.0002,0.0275,0.038,0.0001,0.0759,0,0,0,0,0
110,b356a0297a22d75b03758feb21632fce,good,0,,0.0076,0.1481,600,,0.0009,0.0536,0.2189,0.0665,0.0041,0.0,0.0536,0.0533,0.0,0.1067,0,0,0,0,0
111,e8fcd8b55e048ecc4cf352c3fc1b12cb,good,0,,0.0419,0.1481,600,,0.0001,0.0668,0.2189,0.1009,0.0019,0.0,0.0668,0.0426,0.0,0.0851,0,0,0,0,0
112,fb080a1830ccdc05574083aa743be41f,good,0,,0.1595,0.1481,600,误杀FP,0.0025,0.0669,0.2037,0.0338,0.1824,0.0,0.0669,0.0596,0.0,0.1192,0,0,0,0,0
113,65dde24b368432a5ce9032e2d9db7d13,good,0,,0.0132,0.1481,600,,0.0007,0.19,0.2657,0.101,0.018,0.0001,0.19,0.0597,0.0012,0.1192,0,0,0,0,0
114,92eacd50c726621fc393adbbf886ed8d,good,0,,0.0028,0.1481,600,,0.0015,0.0483,0.25,0.1226,0.0601,0.0001,0.0483,0.0426,0.0009,0.0851,0,0,0,0,0
115,8543884467414b931915e05d92c125b3,good,0,,0.0381,0.1481,600,,0.0041,0.0535,0.2189,0.1604,0.018,0.0,0.0535,0.0477,0.0086,0.0953,0,0,0,0,0
116,a2036acc90d4545d6e9b71591a4ef1b9,good,0,,0.0237,0.1481,600,,0.0,0.1471,0.2656,0.2199,0.0001,0.0019,0.1471,0.0596,0.0,0.1192,0,0,0,0,0
117,06f607c71536687011921fba49accef1,good,0,,0.0088,0.1481,600,,0.0006,0.1346,0.2963,0.1744,0.0025,0.0002,0.1346,0.074,0.0007,0.148,0,0,0,0,0
118,c4271add6326f9293de3ccf676d7751a,good,0,,0.1121,0.1481,600,误杀FP,0.0,0.0668,0.2189,0.2344,0.0007,0.0001,0.0668,0.0823,0.0086,0.1645,0,0,0,0,0
119,f8e7c9d2c9ebbcf3ac39df28d057fc92,good,0,,0.0245,0.1481,600,,0.0086,0.162,0.3396,0.219,0.0601,0.0002,0.162,0.0912,0.0002,0.1824,0,0,0,0,0
120,9b2ca2fb2988934db59d28c414afbbb6,good,0,,0.0087,0.1481,600,,0.0009,0.027,0.2656,0.074,0.0601,0.0,0.027,0.0187,0.0006,0.0373,0,0,0,0,0
121,4a879de3b1c8bc9e58046f74fe680ca5,good,0,,0.0162,0.1481,600,,0.0001,0.0428,0.2656,0.185,0.0067,0.0759,0.0428,0.0338,0.0012,0.0675,0,0,0,0,0
122,32da5882e4999336b61382d28fdc2eeb,bad,1,还原度,0.0,0.1481,600,漏检FN,0.0,0.0832,0.1604,0.1743,0.0001,0.0,0.0832,0.0596,0.0007,0.1192,0,0,0,0,1
123,4ea9b07a5ec076290709ff281a6c2aa0,bad,1,"不合理的物体, 帧跳变",0.0375,0.1481,600,漏检FN,0.0003,0.1011,0.2811,0.1888,0.0025,0.0,0.1011,0.1225,0.0052,0.2451,1,0,1,0,0
124,9b09b5474307dcbc7a4531e9c0ca434c,good,0,,0.0,0.1481,600,,0.0002,0.2501,0.2811,0.3529,0.0019,0.0001,0.2501,0.074,0.0041,0.148,0,0,0,0,0
125,152bf818817ef68455fe75a19377f4c2,good,0,,0.0052,0.1481,600,,0.0003,0.0596,0.3529,0.1605,0.0032,0.0002,0.0596,0.0533,0.0002,0.1067,0,0,0,0,0
126,12f0f8b5c1277c2554519f65c51ec1a5,good,0,,0.0,0.1481,600,,0.0007,0.1349,0.3257,0.1888,0.0032,0.0,0.1349,0.1114,0.0001,0.2227,0,0,0,0,0
127,159a1f914d28512d40330e5943b1580a,bad,1,还原度,0.0054,0.1481,600,漏检FN,0.0002,0.1229,0.25,0.3532,0.0086,0.0007,0.1229,0.1114,0.0001,0.2227,0,0,0,0,1
128,0272da585a049c226fac20a35520e005,good,0,,0.041,0.1481,600,,0.0,0.0268,0.1743,0.1114,0.0032,0.0,0.0268,0.0477,0.0001,0.0953,0,0,0,0,0
129,72cf524707bcbb765b221bce653be8a2,good,0,,0.0372,0.1481,600,,0.0019,0.0601,0.1114,0.0823,0.0141,0.0,0.0601,0.0267,0.0004,0.0534,0,0,0,0,0
130,a288896ca9b87a1a61338eeac0724081,good,0,,0.0139,0.1481,600,,0.0015,0.0741,0.25,0.0913,0.0067,0.0001,0.0741,0.0665,0.0003,0.133,0,0,0,0,0
131,128ccd427aa058af409b9c9a3b130a40,good,0,,0.0096,0.1481,600,误杀FP,0.0001,0.0741,0.1471,0.8249,0.0004,0.9985,0.0741,0.0596,0.0067,0.1192,0,0,0,0,0
132,e01a426b6799b3e79cf91642c90ffa6b,good,0,,0.0089,0.1481,600,,0.0025,0.3138,0.3257,0.3113,0.0086,0.0001,0.3138,0.1225,0.0003,0.2451,0,0,0,0,0
133,49e8a192d63a32ec800ca5d9755f41e0,good,0,,0.0,0.1481,600,,0.0,0.1345,0.2656,0.1888,0.0,0.0,0.1345,0.0665,0.0,0.133,0,0,0,0,0
