video,p_base,p_e18
base-noprop__55b63d472e9f15d5bcd1f672b7144ce1726da2f2__爆炸菇（爆炸后）__v0__37f0c1a8__c0.mp4,0.362676,0.327338
exact-r1__52e27d0ad2d2890946f1fe6c35b87aaa4541bdc1__吐司菇__v518__coffee__058f0e6c__c0.mp4,0.101142,0.165973
base-props__de80684a473a7265e3fc6883d1373c22b31a0ac7__爆炸菇（爆炸后）__v868__scooter__2f2097c4__c0.mp4,0.12597,0.200768
base-noprop__ea77208c520ab108b30a7e6f72eddb04638cca12__爆炸菇（爆炸后）__v0__167c3cac__c0.mp4,0.092764,0.166958
base-props__929b88500dd26c68400cb2ef5015e7db4f37d194__汉堡菇__v586__coffee__880a1ceb__c0.mp4,0.145683,0.220774
exact-r1__f11cad00ba6f8dcd0db7e9dfcdef26e58638052e__爆炸菇（爆炸前）__v1517__scooter__826b44a1__c0.mp4,0.437407,0.404617
base-noprop__05ac9abf4092d7eda364b995ce814f0c2859bf3c__蘑菇力__v0__cf199693__c0.mp4,0.094038,0.11199
exact-r1__32f237a65638d702e80c66ce6545a75f08d71afa__吐司菇__v340__glasses__49dfb3e2__c0.mp4,0.493726,0.415479
base-noprop__85485675b9afc7fa463bca0fd81c644d405acb2e__爆炸菇（爆炸前）__v0__8f198cec__c0.mp4,0.295188,0.351557
exact-r1__0399b7e1281139c389c4f871736e53e2fab0d75d__爆炸菇（爆炸后）__v25__eyemask__9d8c5219__c0.mp4,0.079038,0.156846
base-noprop__28a40bdc8031c3ded5a744a31c764d0180862532__爆炸菇（爆炸后）__v0__7ced556b__c0.mp4,0.285914,0.333934
exact-r1__6f6f2d7c0707575b6afdd575fae5abf75eec000d__吐司菇__v706__flag__e18588cd__c0.mp4,0.038501,0.088825
base-props__b166561176afda3a52cc9957753e6b2a097c6778__爆炸菇（爆炸前）__v708__glasses__ebc7f03d__c0.mp4,0.029242,0.097181
exact-r1__65fa930a2832ed150be2f5f8c6f3014ee7d827a8__爆炸菇（爆炸后）__v648__flag__9e38806b__c0.mp4,0.033725,0.132066
base-noprop__0fdb22578fff87861697db59c5fdafc40b146990__蘑菇力__v0__c4e12003__c0.mp4,0.010234,0.091011
base-noprop__05dd2b8db67494f0efc8d0fdde03ebfec1ec36bb__毒蘑菇__v0__76d724a6__c0.mp4,0.178212,0.154822
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__爆炸菇（爆炸后）__v0__b7b64ae3__c0.mp4,0.104264,0.191272
base-noprop__0b9d7a9da15b27871886a629df50e17677f0c915__粽子菇__v0__0f454afa__c0.mp4,0.110407,0.183588
exact-r2__c7ad00b677c45e8f5009f4a0740dfa6c109a6eee__汉堡菇__v1244__glasses__0a8c1553__c0.mp4,0.397766,0.341571
exact-r1__4b734340dea86eb026518f537642d75cec5d26c7__粽子菇__v480__glasses__09e00568__c0.mp4,0.444661,0.368559
exact-r2__2542b9c5635f6f39a49c3380e72384f78fd1c0d8__汉堡菇__v238__eyemask__4cce5059__c0.mp4,0.105408,0.172037
base-noprop__068f87e6d8c098db1a68eaff2a959baa9dd07959__毒蘑菇__v0__6945910b__c0.mp4,0.327883,0.364814
base-noprop__f64e1c17ba334819ca417f708e64e97d2aba7b05__爆炸菇（爆炸后）__v0__87b92abb__c0.mp4,0.225088,0.320165
exact-r1__3296e3025fe5db65ce1e18e8abd3114afdfdc5da__爆炸菇（爆炸后）__v335__coffee__0714808a__c0.mp4,0.378056,0.354793
exact-r2__63c6cd5b6ce97c724c348a679627c9f637af97f7__毒蘑菇__v627__scooter__2948a84e__c0.mp4,0.546865,0.53698
exact-r2__a9816777eac0a4b87543f0fe4ad36edf6b92ca8e__吐司菇__v1049__crown__a8d4e42e__c0.mp4,0.291144,0.322722
exact-r1__967be5bf93e2191527c35a951f196af47aae0dc9__毒蘑菇__v937__bubble__56580119__c0.mp4,0.153491,0.19576
generic__961bd0e7dc5dec1e77f826ad3f88dc97e2021663__汉堡菇__v606__glasses__ec6f851a__c0.mp4,0.139868,0.194814
base-noprop__930af50238c37ebaf442e48b5cf1fdd56a6c5adb__汉堡菇__v0__3b72956b__c0.mp4,0.075639,0.142542
exact-r2__f4391007a9614180b36c5a425ae726846b1ea5a6__蘑菇力__v1539__eyemask__009061a7__c0.mp4,0.114595,0.163389
exact-r1__1db18ca5323487563ceb952534de9a3b9af8d9f2__毒蘑菇__v184__coffee__25151478__c0.mp4,0.371684,0.362141
exact-r2__4684d4e3cc283d2f82a830567f416163b041076b__粽子菇__v446__scooter__0f8c7e43__c0.mp4,0.102989,0.150591
base-noprop__746da3c174acbb5da8858bffe05b68335dae3406__汉堡菇__v0__f742b2a7__c0.mp4,0.140711,0.145309
base-noprop__0b9d7a9da15b27871886a629df50e17677f0c915__炸虾菇__v0__23adc1a5__c0.mp4,0.365559,0.369621
base-noprop__1d5a1c958b3030b64164f55cfb9fdefdf2716651__毒蘑菇__v0__5aa3164d__c0.mp4,0.335446,0.342363
generic__45160a3209fab0c464a72ff9098bde522b4e0264__爆炸菇（爆炸前）__v254__scooter__4a80b0c1__c0.mp4,0.28665,0.258289
exact-r1__b7d6465a8b59608365b430ec044d2fd40916aca4__蘑菇力__v1146__crown__d5a033a7__c0.mp4,0.27942,0.311556
base-noprop__3ea8cf079e959693153dd04695b6f05e21f1dca3__毒蘑菇__v0__cd5fa161__c0.mp4,0.050195,0.12831
exact-r1__017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0.mp4,0.401622,0.454259
exact-r2__d1758c15bc02c270105a3d17b4eb3accdc5cee71__蘑菇力__v1300__bubble__af98eeec__c0.mp4,0.062456,0.135319
exact-r1__29f679c8be6e6b658cdfb3ab8df8254b60f131e5__蘑菇力__v272__flag__86d422b6__c0.mp4,0.048173,0.155149
exact-r2__06fa761f552f4726608d396cd74b9485f90f0510__爆炸菇（爆炸前）__v44__crown__bb179f3c__c0.mp4,0.151253,0.170931
base-props__1a5e9e21aa5ab5837e37e1d632efa039b57aab7f__蘑菇力__v94__coffee__9813a98c__c0.mp4,0.047972,0.142744
base-noprop__1f66a501aba063a2796ee4f1f4d6082295197784__蘑菇力__v0__bfd0d9e4__c0.mp4,0.024387,0.132916
base-noprop__068f87e6d8c098db1a68eaff2a959baa9dd07959__蘑菇力__v0__80996da1__c0.mp4,0.519268,0.476354
exact-r1__49fef35b1c962aa22fdd2b3411e53134117a62b6__毒蘑菇__v473__eyemask__fe8ce2b8__c0.mp4,0.184262,0.218014
exact-r1__b656711495e9904b44ee1e7c04c210b83cd2ed74__毒蘑菇__v1134__crown__0574677e__c0.mp4,0.112531,0.155411
exact-r1__d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c__汉堡菇__v1361__flag__17c31c4e__c0.mp4,0.036173,0.124595
exact-r1__55d0a552371088436d3780e0920102745a9833f1__汉堡菇__v546__scooter__2d2219a1__c0.mp4,0.119059,0.18175
base-noprop__51be5b142d9021a3c446702d354fabdf42630fa9__蘑菇力__v0__a429805f__c0.mp4,0.090859,0.080576
exact-r1__c14746cc7fb4e3b79deb72aaeea20c288e6ac46f__爆炸菇（爆炸前）__v1205__coffee__60eb71a2__c0.mp4,0.28755,0.292583
base-props__cb05660c4b262902ff02becd82b2bbb621c9edbf__吐司菇__v791__eyemask__d3393fa2__c0.mp4,0.060142,0.157486
base-noprop__45ec56f5f20bca20bb45a07b0652cb24f9a8a27f__蘑菇力__v0__f2e75d8c__c0.mp4,0.112844,0.154867
exact-r1__38b58dfa04037a8d4c73a738d8fd4058766e8609__粽子菇__v370__flag__4e1cd0d3__c0.mp4,0.163002,0.269813
exact-r2__24fd5a5b571589bad02d82bc90600f51cc7bcb81__汉堡菇__v233__eyemask__dfe13e5a__c0.mp4,0.104079,0.161874
exact-r1__986d912c264847e31c8f18a969d28d6c5bfafc3a__毒蘑菇__v943__bubble__ecab9665__c0.mp4,0.086276,0.162874
exact-r2__929b65b28d7fc5f68d6f799d9d758150e4b1155d__爆炸菇（爆炸前）__v914__flag__3302281d__c0.mp4,0.300197,0.358197
base-noprop__556de27b0d0679c58d037153bf13f376557bb4da__汉堡菇__v0__b936b058__c0.mp4,0.222004,0.213173
exact-r1__92d7bb39237f675b3076e7ae79f0ec800ee34bfd__爆炸菇（爆炸前）__v915__flag__4d32b5b8__c0.mp4,0.21558,0.322635
exact-r1__923dbea1c7a98f5a1ad632836be7e11ba23c900a__粽子菇__v906__crown__27970c94__c0.mp4,0.116633,0.202779
generic__546296f7917ec182336f629d3d0c02436cb741ca__汉堡菇__v315__scooter__5d2f2681__c0.mp4,0.105672,0.139834
base-props__da845ee71f9cb9c51804ea9e81d440cd088d2805__汉堡菇__v845__bubble__4b8aea7d__c0.mp4,0.415447,0.336679
exact-r2__3550d4d593884e660092f1bb1c9c8c880eb3e04f__吐司菇__v353__glasses__368117e2__c0.mp4,0.527969,0.550801
exact-r1__d23c24b9a061ce56500b538bf57e52a7a8356d7d__炸虾菇__v1306__crown__14945331__c0.mp4,0.312176,0.382772
exact-r1__7c8a526968954350424479b1f22cb0375632bc6e__炸虾菇__v775__glasses__253cc752__c0.mp4,0.361883,0.345575
base-noprop__cd19e3a058e1dc2909d79dd0b89fd5e5cf73511a__爆炸菇（爆炸前）__v0__b7bfe665__c0.mp4,0.397466,0.312697
base-noprop__b281dc2a1f8e99821ca80a015d7a15c12c8925f9__爆炸菇（爆炸前）__v0__ef6e2ca1__c0.mp4,0.215991,0.262217
exact-r1__49b4745c3f3ae2c858204bfef37fd2132cb50200__毒蘑菇__v469__eyemask__ae7a9e1d__c0.mp4,0.197769,0.185511
base-props__a4ef5a0703d7e77492a6724ff679670b2cb37512__粽子菇__v671__glasses__abfa9230__c0.mp4,0.116079,0.167074
exact-r1__32dd046cc33c87913a63ceb3d332e99d5929fcfb__爆炸菇（爆炸后）__v338__coffee__b1adb7ff__c0.mp4,0.6681,0.643657
generic__9b466919eda610e8c73a0bd5a77aa817123053da__粽子菇__v629__scooter__ee29ce26__c0.mp4,0.141527,0.147398
exact-r2__f098f956c8048e901cfef55e3a9c2c1ae2f2ea2b__爆炸菇（爆炸前）__v1512__scooter__23c2e1b2__c0.mp4,0.438153,0.474896
exact-r2__5dd0b25b8d1b4b0a6283fcc5a61e4dd4413e42f8__吐司菇__v588__scooter__ae43ea86__c0.mp4,0.082342,0.038868
exact-r2__48c861a729f66f679642de5c029313df7a318d4d__粽子菇__v464__scooter__b6246b54__c0.mp4,0.264384,0.301105
base-noprop__f1dad7bb3456b35de8ced7c8026630284b2a0358__炸虾菇__v0__68253e8b__c0.mp4,0.091123,0.187378
exact-r2__55c78bf255f3a7b815fa63ec2b487f670c474c05__汉堡菇__v544__scooter__f9fb3109__c0.mp4,0.082325,0.174874
base-noprop__3bebabbc637c0e47cdac3a89bb497c6c48ee197b__吐司菇__v0__50a6d591__c0.mp4,0.04878,0.135995
exact-r2__ba251ea3d223905682930bef46247c2d3538af06__粽子菇__v1161__eyemask__c6bc1f91__c0.mp4,0.285527,0.303223
exact-r2__25242e2c4e978686c1ab0fd42607be6ef25ff215__汉堡菇__v235__eyemask__02246e97__c0.mp4,0.231628,0.315077
base-props__11126af44460c58b95d533978e0cf55f002fe629__吐司菇__v66__bubble__f564ca5a__c0.mp4,0.038787,0.137518
exact-r1__08bc0b380cf865761826977b4c950791f2b66856__爆炸菇（爆炸前）__v52__crown__f7b25bfe__c0.mp4,0.233196,0.29374
generic__abd3eebc0d8afd79024fb49f40a8b92321223c19__汉堡菇__v686__eyemask__ac9a2e26__c0.mp4,0.06812,0.184044
base-noprop__0ede95135255948bd4b4397d3ea7c6890ffbbb52__毒蘑菇__v0__a0cb27d9__c0.mp4,0.110664,0.12479
exact-r1__4684d4e3cc283d2f82a830567f416163b041076b__爆炸菇（爆炸后）__v446__glasses__bf74e4b6__c0.mp4,0.304636,0.294537
exact-r1__b8e0b9755a51b36875a1ff8ee869e25c5e0b23ff__蘑菇力__v1153__crown__9e2adf71__c0.mp4,0.238579,0.205188
exact-r1__26d75a46f6b5232a06d19848323a502357164e90__蘑菇力__v257__flag__c56eb3e3__c0.mp4,0.519189,0.485514
exact-r1__9246f4c2cfaf94dbb9aaf761e9ed5784d548c111__粽子菇__v908__crown__619a8663__c0.mp4,0.12525,0.16502
exact-r1__d002e5583f41453bb83d542e6e3c5c3cb84670c8__蘑菇力__v1292__bubble__eaf7d752__c0.mp4,0.264792,0.27127
generic__73ec88107c787002c08c3232085b5837e0a0a553__炸虾菇__v449__bubble__8ebbfab5__c0.mp4,0.092891,0.168267
exact-r2__95661968e66f7e80c1cfe770235df4b395dab410__毒蘑菇__v930__bubble__db7364e2__c0.mp4,0.115921,0.164564
exact-r2__fa8822b451db86406868163ad6abd81635c99e4c__爆炸菇（爆炸前）__v1579__bubble__a2820fb2__c0.mp4,0.100095,0.143834
exact-r1__34e339919ebe42baea42c17116629a6037829046__吐司菇__v351__glasses__5c5de906__c0.mp4,0.570698,0.545531
generic__2a80b5bbf9bfc43cc9607c64804c1876ee75a6f2__吐司菇__v145__flag__d497fcd1__c0.mp4,0.141093,0.146022
base-noprop__50ad428af3b86412de8a648a8194cebfd6685400__炸虾菇__v0__628e1d4b__c0.mp4,0.172695,0.247624
exact-r2__1d10d72beff724875190e76c7f3249168d25a97a__毒蘑菇__v177__coffee__2132b6bd__c0.mp4,0.319389,0.324924
base-noprop__3e0263de42d2cb0db2374a5b45278fcc7a471c0b__蘑菇力__v0__de7b3c77__c0.mp4,0.099721,0.132258
exact-r1__4750d9b5e622a065f63c02791c5880240fb4ec9a__粽子菇__v455__scooter__8a130adf__c0.mp4,0.148899,0.174665
exact-r1__c29266a464fea2ac37a8605daf8044b752a1f624__爆炸菇（爆炸前）__v1215__coffee__6da6266c__c0.mp4,0.100432,0.225939
exact-r1__95270fa777a6a5cb99054cf707304be40d56acb6__毒蘑菇__v928__bubble__f5d68233__c0.mp4,0.115474,0.148211
exact-r2__0482215a70d10901557fd35bdf33f91d111c8bcb__粽子菇__v30__coffee__d4ee31e5__c0.mp4,0.045316,0.117979
exact-r1__79338d48a690fd016313c198f04a3dc484b6e14f__毒蘑菇__v755__flag__ebd0d94e__c0.mp4,0.160577,0.226352
exact-r2__ef3bed0365ebd4b143e559e9f65fdd3902b7cb46__爆炸菇（爆炸前）__v1501__scooter__163de21a__c0.mp4,0.596755,0.594363
base-noprop__2c164d8e794e57d3dbeecb7a01572c433d3d03f3__吐司菇__v0__8db8e628__c0.mp4,0.05142,0.152415
exact-r2__1e6455b0ff78fa4766a1d5f30413ea1d0429eb99__毒蘑菇__v187__coffee__cf9a2967__c0.mp4,0.125377,0.178554
exact-r1__f38c85c9dbbd6fe91ebb9c9d9e17e6640548549d__毒蘑菇__v1530__glasses__4c0f5650__c0.mp4,0.226615,0.206676
base-noprop__701e58d8fd0b9629cc0d3b9aec0136dcfd79a9f4__爆炸菇（爆炸后）__v0__1eef5aea__c0.mp4,0.06914,0.175265
base-noprop__51be5b142d9021a3c446702d354fabdf42630fa9__毒蘑菇__v0__2e625b4c__c0.mp4,0.053408,0.111906
exact-r1__16d87b7c10ee927fd1e1d2e315f77f610316d154__爆炸菇（爆炸前）__v146__glasses__98277935__c0.mp4,0.151324,0.202121
exact-r1__b78000494643dd416d6056e23accb37bf8708a96__蘑菇力__v1143__crown__6e95a9d4__c0.mp4,0.112773,0.150731
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__炸虾菇__v0__dfead8ad__c0.mp4,0.070623,0.140914
base-noprop__04febc3ea3e866abdf75b3fab9b881e8f80a980a__炸虾菇__v0__67fb9c03__c0.mp4,0.161001,0.22689
exact-r2__7bcdb8d9a74233784e73beaf553f9da6be6bf025__毒蘑菇__v772__flag__65ea2bc6__c0.mp4,0.060423,0.164381
base-noprop__28a40bdc8031c3ded5a744a31c764d0180862532__粽子菇__v0__e761f249__c0.mp4,0.149635,0.18881
base-props__61fed9a5970df6669462d6fcf616c133d150bbc0__吐司菇__v373__glasses__dfcca2ae__c0.mp4,0.100322,0.151122
base-noprop__08447ead47d19cdf9b918908077ea735b8029732__粽子菇__v0__00723c07__c0.mp4,0.08246,0.127807
generic__24dc1f3ba782c8b6cd325590627ea2ed97b93833__毒蘑菇__v126__scooter__6fdbfbad__c0.mp4,0.095987,0.157094
exact-r2__612115080afd9cfcd7bc4fdd21348971b54a34c7__爆炸菇（爆炸后）__v613__scooter__aeb47a72__c0.mp4,0.342017,0.361646
exact-r1__d9657e5af5e0c9e5c71b7d15425af2bf7fc9de96__汉堡菇__v1360__flag__ffb3b643__c0.mp4,0.09394,0.158002
generic__cb05660c4b262902ff02becd82b2bbb621c9edbf__吐司菇__v791__eyemask__d3393fa2__c0.mp4,0.028785,0.15193
exact-r2__63c6cd5b6ce97c724c348a679627c9f637af97f7__爆炸菇（爆炸后）__v627__scooter__9f990d4c__c0.mp4,0.448711,0.443749
base-props__54b808c68379bb80df935fac20da98e5db366a47__吐司菇__v316__coffee__947501b0__c0.mp4,0.157178,0.181223
exact-r1__044176e563bd0ca37fa16a6ebe34899138633a40__爆炸菇（爆炸后）__v28__eyemask__b7e2f1f6__c0.mp4,0.395391,0.52286
base-noprop__084b3e71188f9a2159d683c11a6ad5bd65815355__吐司菇__v0__a94d2237__c0.mp4,0.104286,0.168618
base-noprop__298931f62e1fcd1c182d348d865aefe21b2f1a4b__蘑菇力__v0__dc9d6ef2__c0.mp4,0.169002,0.179349
base-noprop__ccb6b1d206606a8d4ddb34ae7e70a1dfb2cd49ba__汉堡菇__v0__2f0ff66d__c0.mp4,0.074359,0.167179
exact-r2__5e251213a13de31edf2e489d219063a9041511e3__炸虾菇__v589__coffee__0ec22905__c0.mp4,0.197692,0.259158
exact-r1__39592fc54ca3ce1fa9f11e0639080d80fdd90784__粽子菇__v374__flag__cb7e2551__c0.mp4,0.364681,0.412589
exact-r1__db6ce3f46aa974538e2bf6288aa30d60f1537602__汉堡菇__v1373__flag__375d8b71__c0.mp4,0.232661,0.278241
exact-r2__4684d4e3cc283d2f82a830567f416163b041076b__吐司菇__v446__bubble__997c9000__c0.mp4,0.258551,0.177263
base-noprop__33159c17b1b4cc97be3acad43a606bfdc0461807__炸虾菇__v0__928aa5a5__c0.mp4,0.061185,0.168676
exact-r1__3373ae9e4de4dce88d5624681a41f79ac07484f3__蘑菇力__v342__scooter__c3ace3d5__c0.mp4,0.078713,0.126203
base-props__e9b94ecc359c2f277ccefaf7095c17b14b261bcc__爆炸菇（爆炸前）__v909__coffee__12dbfcb7__c0.mp4,0.084596,0.193033
exact-r1__9054fdbc790f3181e453f4f32520b1e358733cb9__粽子菇__v897__crown__d890a9b9__c0.mp4,0.368319,0.434912
base-noprop__13eda229e23f72de63829ca2a162c20a3b56bf44__毒蘑菇__v0__97d11529__c0.mp4,0.063563,0.136423
exact-r2__d2f00eb058f9ce3ba98cf2152e90a803a48e4864__炸虾菇__v1307__crown__79805e5c__c0.mp4,0.200945,0.235418
exact-r1__48043cd413298bba118f12d7404a3ad3aeeeb310__粽子菇__v458__scooter__614502c4__c0.mp4,0.080264,0.143477
base-noprop__30b4282f1742fb0fb6e237b3bacf4fb43522adf0__吐司菇__v0__92db5016__c0.mp4,0.143932,0.178564
base-noprop__3eb6d97760f838a366c3ddc9c5fe31024af3ddd6__汉堡菇__v0__95f315d5__c0.mp4,0.082577,0.173911
base-noprop__190a31ba334eafd595032f1742e0cdf9b9183281__汉堡菇__v0__fede9e15__c0.mp4,0.101902,0.149217
exact-r2__66c31723dc12306b4f0c1044a74ebf104e0824d8__爆炸菇（爆炸后）__v652__flag__aa0b5ed5__c0.mp4,0.30392,0.265221
exact-r1__e92751ca858d2ff69aed920d5cad82f934c445e3__吐司菇__v1461__eyemask__bccdc7a1__c0.mp4,0.165082,0.168618
base-noprop__7980439f022908b0edafecd558418e07616aeaf7__爆炸菇（爆炸前）__v0__92289f57__c0.mp4,0.087952,0.116854
base-noprop__b281dc2a1f8e99821ca80a015d7a15c12c8925f9__粽子菇__v0__76f88b80__c0.mp4,0.050331,0.133947
exact-r2__49e4303b44fcc27a48dcbb9fedc8fd22431b34ff__毒蘑菇__v472__eyemask__5bdac16e__c0.mp4,0.281719,0.343754
base-noprop__479cfaa7ed9751d704a007cccb8dbebcb4fc8765__爆炸菇（爆炸后）__v0__51ba2f4d__c0.mp4,0.093408,0.150107
base-noprop__31b74b126f6fafc4629493be8201689f500ebf47__蘑菇力__v0__e3418e90__c0.mp4,0.07823,0.084247
exact-r2__38b58dfa04037a8d4c73a738d8fd4058766e8609__粽子菇__v370__flag__4e1cd0d3__c0.mp4,0.245932,0.217033
base-props__58a25304d5897daa19607fb3b5ce8c1f9d1c340f__炸虾菇__v335__coffee__c245ba49__c0.mp4,0.081186,0.158441
generic__b2d3b11f7cc10d19163a3940e12f64f147409d54__爆炸菇（爆炸后）__v713__eyemask__9658b52b__c0.mp4,0.073677,0.133614
exact-r2__626b6bd3e31f1f1f566ad8589123249d6c71e87e__爆炸菇（爆炸后）__v620__scooter__c59c39e4__c0.mp4,0.178923,0.291318
generic__432eff82630f4ea5c677143ac7a2c056c203e209__爆炸菇（爆炸前）__v246__eyemask__7d24a326__c0.mp4,0.359008,0.39132
exact-r2__17267cdbab13c63bd29a987952c0bc6e4a671ac3__蘑菇力__v149__glasses__47690caa__c0.mp4,0.05483,0.17274
exact-r1__11f34e08a6906e27e7c06d8e53c0abd8b0e6a511__蘑菇力__v105__coffee__81ed7854__c0.mp4,0.06786,0.132735
base-props__dd6b0b25684c0bddcc56e9fa41e0a0bb3f55e318__毒蘑菇__v857__coffee__7dfbf06a__c0.mp4,0.086114,0.150958
exact-r1__06af112cda638917aeaa3b19f63575e6b2cce87e__爆炸菇（爆炸前）__v41__crown__a6645005__c0.mp4,0.101526,0.181042
exact-r1__398db66855bd9f71ccddbebdb893c9052ea19a22__粽子菇__v377__flag__c830a3f9__c0.mp4,0.095925,0.181987
exact-r1__612115080afd9cfcd7bc4fdd21348971b54a34c7__爆炸菇（爆炸后）__v613__scooter__aeb47a72__c0.mp4,0.376532,0.406317
generic__9988ed6b8baec6b7f72e2a2f31784ecde8be7eb5__粽子菇__v623__scooter__fee93b7f__c0.mp4,0.18808,0.218071
exact-r1__95270fa777a6a5cb99054cf707304be40d56acb6__汉堡菇__v928__crown__febcd7b8__c0.mp4,0.101632,0.151951
base-noprop__9fe84a46a5b7258d9185e38e64539dfb315c00ea__炸虾菇__v0__d29032ae__c0.mp4,0.175518,0.236388
base-noprop__152077a5b2e9ecb98c83d24bd2c2d3c0ce349e29__吐司菇__v0__91ffcd2d__c0.mp4,0.169387,0.151297
base-noprop__05dd2b8db67494f0efc8d0fdde03ebfec1ec36bb__吐司菇__v0__daa92d16__c0.mp4,0.090627,0.153195
exact-r1__1797a30fd91eff354c236387e11c6718b039aab5__爆炸菇（爆炸前）__v153__glasses__3de29246__c0.mp4,0.478028,0.479784
exact-r2__162906640246ef44f99db4ad49276c513665eb1e__爆炸菇（爆炸前）__v142__glasses__6207d034__c0.mp4,0.094392,0.141169
exact-r2__f1498f3a3c3245f137f45ef7171fbad768a30f29__爆炸菇（爆炸前）__v1519__scooter__e1358b4e__c0.mp4,0.09543,0.138439
generic__3ea8cf079e959693153dd04695b6f05e21f1dca3__炸虾菇__v230__flag__575a466d__c0.mp4,0.104097,0.135873
exact-r1__48c861a729f66f679642de5c029313df7a318d4d__粽子菇__v464__scooter__b6246b54__c0.mp4,0.190531,0.250463
base-props__13c5ef355a4677fd006d158853aae7228ec89353__炸虾菇__v71__crown__f2952d0d__c0.mp4,0.081334,0.104962
exact-r1__5e792b82d424890d709af4c84bfcd10e8071fd48__炸虾菇__v590__coffee__d589a251__c0.mp4,0.40277,0.400165
exact-r1__e86d2a316b78bde955a3d36e1105be5da3d55ae9__吐司菇__v1456__eyemask__efc4954f__c0.mp4,0.280525,0.342949
base-noprop__050d465c02a6aedcb83961a3f85cf51de88d0d3e__吐司菇__v0__6abc19e8__c0.mp4,0.110083,0.140703
base-props__50ee01d3a21af2295c697ffe0dcc9d0e2bd3a001__汉堡菇__v299__crown__af1e681c__c0.mp4,0.505853,0.505645
base-props__deb8dcc91484de67c08304d54dba061741b046a8__毒蘑菇__v870__coffee__64902ddf__c0.mp4,0.051214,0.173217
exact-r2__e92751ca858d2ff69aed920d5cad82f934c445e3__吐司菇__v1461__eyemask__bccdc7a1__c0.mp4,0.134905,0.209551
