filename,grade,reasons,track,source_sha,match,image_sample_id,image_dataset,image_label
base-noprop__e17297a1dbbf07dbe3fecb987321a5713158816b__爆炸菇（爆炸前）__v0__a239dfdd__c0.mp4,bad,卡顿/少活人感,base-noprop,e17297a1dbbf07dbe3fecb987321a5713158816b,exact,e17297a1dbbf07dbe3fecb987321a5713158816b__爆炸菇（爆炸前）__v0__a239dfdd__c0,sku-2.0-noprop-merged-0721,bad
base-noprop__58a25304d5897daa19607fb3b5ce8c1f9d1c340f__蘑菇力__v0__8676ccda__c0.mp4,bad,还原度,base-noprop,58a25304d5897daa19607fb3b5ce8c1f9d1c340f,source_only,58a25304d5897daa19607fb3b5ce8c1f9d1c340f__TUPV6007__v335__glasses__b3e01965__c0,sku-1.0-daily-props-matrix-untriggered-0731,bad
generic__5fcaed1021788750740eaf4cb963c907ca733dc2__爆炸菇（爆炸前）__v363__flag__f28a34da__c0.mp4,normal,,generic,5fcaed1021788750740eaf4cb963c907ca733dc2,none,,,
exact-r2__256b55303d2ece49031dba768c8d8f85b8dabced__炸虾菇__v240__eyemask__ac4ffce8__c0.mp4,bad,不合理的物体,exact-r2,256b55303d2ece49031dba768c8d8f85b8dabced,exact,256b55303d2ece49031dba768c8d8f85b8dabced__炸虾菇__v240__eyemask__ac4ffce8__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r1__64f7ba46c3c16764be8347709ee03ebee90d68c2__炸虾菇__v639__scooter__ac6b2584__c0.mp4,bad,还原度,exact-r1,64f7ba46c3c16764be8347709ee03ebee90d68c2,exact,64f7ba46c3c16764be8347709ee03ebee90d68c2__炸虾菇__v639__scooter__ac6b2584__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__62671de5d59372c360feb3d41db56086df4cc5db__毒蘑菇__v619__scooter__25ffefbe__c0.mp4,bad,还原度;物理规律,exact-r1,62671de5d59372c360feb3d41db56086df4cc5db,exact,62671de5d59372c360feb3d41db56086df4cc5db__毒蘑菇__v619__scooter__25ffefbe__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__48172f0dfe98550b41a163b5c11c78aa0d297fd9__爆炸菇（爆炸后）__v459__glasses__56625650__c0.mp4,bad,还原度,exact-r1,48172f0dfe98550b41a163b5c11c78aa0d297fd9,exact,48172f0dfe98550b41a163b5c11c78aa0d297fd9__爆炸菇（爆炸后）__v459__glasses__56625650__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__f267516ee3473fec084aa1cc59888922709abe1d__毒蘑菇__v1526__glasses__ec0ac680__c0.mp4,bad,还原度,exact-r1,f267516ee3473fec084aa1cc59888922709abe1d,exact,f267516ee3473fec084aa1cc59888922709abe1d__毒蘑菇__v1526__glasses__ec0ac680__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-props__b6bd61a3bd7cb45a64f5f161b4fd05db5645825e__粽子菇__v730__crown__61c95450__c0.mp4,good,,base-props,b6bd61a3bd7cb45a64f5f161b4fd05db5645825e,none,,,
base-noprop__2e74efc28325e12fefad6028bd3e1e47f959c336__毒蘑菇__v0__53e5db28__c0.mp4,normal,,base-noprop,2e74efc28325e12fefad6028bd3e1e47f959c336,exact,2e74efc28325e12fefad6028bd3e1e47f959c336__毒蘑菇__v0__53e5db28__c0,sku-2.0-noprop-merged-0721,good
exact-r1__4bf0b051761534a857f0e278795a15afb31bef80__毒蘑菇__v485__eyemask__456293b6__c0.mp4,bad,不合理的物体,exact-r1,4bf0b051761534a857f0e278795a15afb31bef80,exact,4bf0b051761534a857f0e278795a15afb31bef80__毒蘑菇__v485__eyemask__456293b6__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r1__17267cdbab13c63bd29a987952c0bc6e4a671ac3__蘑菇力__v149__glasses__47690caa__c0.mp4,bad,还原度,exact-r1,17267cdbab13c63bd29a987952c0bc6e4a671ac3,exact,17267cdbab13c63bd29a987952c0bc6e4a671ac3__蘑菇力__v149__glasses__47690caa__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-props__b2678863871b99530ba9e74fef126b3d90508f99__粽子菇__v712__flag__594ae7a3__c0.mp4,bad,大小变化,base-props,b2678863871b99530ba9e74fef126b3d90508f99,source_only,b2678863871b99530ba9e74fef126b3d90508f99__TUPV6002__v712__coffee__37565826__c0,sku-1.0-daily-props-matrix-untriggered-0731,good
exact-r2__4b734340dea86eb026518f537642d75cec5d26c7__粽子菇__v480__glasses__09e00568__c0.mp4,bad,物理规律;首帧一致;帧跳变,exact-r2,4b734340dea86eb026518f537642d75cec5d26c7,exact,4b734340dea86eb026518f537642d75cec5d26c7__粽子菇__v480__glasses__09e00568__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__55b63d472e9f15d5bcd1f672b7144ce1726da2f2__爆炸菇（爆炸后）__v0__37f0c1a8__c0.mp4,normal,,base-noprop,55b63d472e9f15d5bcd1f672b7144ce1726da2f2,source_only,55b63d472e9f15d5bcd1f672b7144ce1726da2f2__占卜__v0__f247a774__c0,tutu-insert-sft-0709,bad
exact-r1__52e27d0ad2d2890946f1fe6c35b87aaa4541bdc1__吐司菇__v518__coffee__058f0e6c__c0.mp4,bad,大小变化,exact-r1,52e27d0ad2d2890946f1fe6c35b87aaa4541bdc1,exact,52e27d0ad2d2890946f1fe6c35b87aaa4541bdc1__吐司菇__v518__coffee__058f0e6c__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-props__de80684a473a7265e3fc6883d1373c22b31a0ac7__爆炸菇（爆炸后）__v868__scooter__2f2097c4__c0.mp4,bad,还原度,base-props,de80684a473a7265e3fc6883d1373c22b31a0ac7,source_only,de80684a473a7265e3fc6883d1373c22b31a0ac7__TUPV6004__v868__bubble__b095fc64__c0,sku-1.0-daily-props-matrix-untriggered-0731,good
base-noprop__ea77208c520ab108b30a7e6f72eddb04638cca12__爆炸菇（爆炸后）__v0__167c3cac__c0.mp4,good,,base-noprop,ea77208c520ab108b30a7e6f72eddb04638cca12,source_only,ea77208c520ab108b30a7e6f72eddb04638cca12__花花__v0__7320f09b__c0,tutu-insert-sft-0709,normal
base-props__929b88500dd26c68400cb2ef5015e7db4f37d194__汉堡菇__v586__coffee__880a1ceb__c0.mp4,bad,卡顿/少活人感,base-props,929b88500dd26c68400cb2ef5015e7db4f37d194,none,,,
exact-r1__f11cad00ba6f8dcd0db7e9dfcdef26e58638052e__爆炸菇（爆炸前）__v1517__scooter__826b44a1__c0.mp4,normal,,exact-r1,f11cad00ba6f8dcd0db7e9dfcdef26e58638052e,exact,f11cad00ba6f8dcd0db7e9dfcdef26e58638052e__爆炸菇（爆炸前）__v1517__scooter__826b44a1__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__05ac9abf4092d7eda364b995ce814f0c2859bf3c__蘑菇力__v0__cf199693__c0.mp4,bad,还原度,base-noprop,05ac9abf4092d7eda364b995ce814f0c2859bf3c,exact,05ac9abf4092d7eda364b995ce814f0c2859bf3c__蘑菇力__v0__cf199693__c0,sku-2.0-noprop-merged-0721,bad
exact-r1__32f237a65638d702e80c66ce6545a75f08d71afa__吐司菇__v340__glasses__49dfb3e2__c0.mp4,bad,僵硬;四肢不动,exact-r1,32f237a65638d702e80c66ce6545a75f08d71afa,exact,32f237a65638d702e80c66ce6545a75f08d71afa__吐司菇__v340__glasses__49dfb3e2__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__85485675b9afc7fa463bca0fd81c644d405acb2e__爆炸菇（爆炸前）__v0__8f198cec__c0.mp4,good,,base-noprop,85485675b9afc7fa463bca0fd81c644d405acb2e,exact,85485675b9afc7fa463bca0fd81c644d405acb2e__爆炸菇（爆炸前）__v0__8f198cec__c0,sku-2.0-noprop-merged-0721,bad
exact-r1__0399b7e1281139c389c4f871736e53e2fab0d75d__爆炸菇（爆炸后）__v25__eyemask__9d8c5219__c0.mp4,normal,,exact-r1,0399b7e1281139c389c4f871736e53e2fab0d75d,exact,0399b7e1281139c389c4f871736e53e2fab0d75d__爆炸菇（爆炸后）__v25__eyemask__9d8c5219__c0,sku-2.0-props-matrix-untriggered-0728,good
base-noprop__28a40bdc8031c3ded5a744a31c764d0180862532__爆炸菇（爆炸后）__v0__7ced556b__c0.mp4,bad,还原度,base-noprop,28a40bdc8031c3ded5a744a31c764d0180862532,exact,28a40bdc8031c3ded5a744a31c764d0180862532__爆炸菇（爆炸后）__v0__7ced556b__c0,sku-2.0-noprop-merged-0721,bad
exact-r1__6f6f2d7c0707575b6afdd575fae5abf75eec000d__吐司菇__v706__flag__e18588cd__c0.mp4,normal,,exact-r1,6f6f2d7c0707575b6afdd575fae5abf75eec000d,exact,6f6f2d7c0707575b6afdd575fae5abf75eec000d__吐司菇__v706__flag__e18588cd__c0,sku-2.0-props-matrix-untriggered-0728,good
base-props__b166561176afda3a52cc9957753e6b2a097c6778__爆炸菇（爆炸前）__v708__glasses__ebc7f03d__c0.mp4,bad,还原度,base-props,b166561176afda3a52cc9957753e6b2a097c6778,source_only,b166561176afda3a52cc9957753e6b2a097c6778__TUPV6002__v708__coffee__5a0a06af__c0,sku-1.0-daily-props-matrix-untriggered-0731,bad
exact-r1__65fa930a2832ed150be2f5f8c6f3014ee7d827a8__爆炸菇（爆炸后）__v648__flag__9e38806b__c0.mp4,normal,,exact-r1,65fa930a2832ed150be2f5f8c6f3014ee7d827a8,exact,65fa930a2832ed150be2f5f8c6f3014ee7d827a8__爆炸菇（爆炸后）__v648__flag__9e38806b__c0,sku-2.0-props-matrix-untriggered-0728,good
base-noprop__0fdb22578fff87861697db59c5fdafc40b146990__蘑菇力__v0__c4e12003__c0.mp4,bad,不合理的物体;还原度,base-noprop,0fdb22578fff87861697db59c5fdafc40b146990,exact,0fdb22578fff87861697db59c5fdafc40b146990__蘑菇力__v0__c4e12003__c0,sku-2.0-noprop-merged-0721,good
base-noprop__05dd2b8db67494f0efc8d0fdde03ebfec1ec36bb__毒蘑菇__v0__76d724a6__c0.mp4,normal,,base-noprop,05dd2b8db67494f0efc8d0fdde03ebfec1ec36bb,source_only,05dd2b8db67494f0efc8d0fdde03ebfec1ec36bb__TUPV6002__v0__266b2aa6__c0,sku-1.0-daily-noprop-0802,bad
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__爆炸菇（爆炸后）__v0__b7b64ae3__c0.mp4,normal,,base-noprop,f4d25ec51527a18f0ee61a4803329a4966535857,source_only,f4d25ec51527a18f0ee61a4803329a4966535857__森林__v0__b18a249d__c0,tutu-insert-sft-0709,bad
base-noprop__0b9d7a9da15b27871886a629df50e17677f0c915__粽子菇__v0__0f454afa__c0.mp4,bad,还原度,base-noprop,0b9d7a9da15b27871886a629df50e17677f0c915,source_only,0b9d7a9da15b27871886a629df50e17677f0c915__汉堡菇__v0__abe94fa7__c0,sku-2.0-noprop-merged-0721,bad
exact-r2__c7ad00b677c45e8f5009f4a0740dfa6c109a6eee__汉堡菇__v1244__glasses__0a8c1553__c0.mp4,normal,,exact-r2,c7ad00b677c45e8f5009f4a0740dfa6c109a6eee,exact,c7ad00b677c45e8f5009f4a0740dfa6c109a6eee__汉堡菇__v1244__glasses__0a8c1553__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__4b734340dea86eb026518f537642d75cec5d26c7__粽子菇__v480__glasses__09e00568__c0.mp4,bad,大小变化;还原度,exact-r1,4b734340dea86eb026518f537642d75cec5d26c7,exact,4b734340dea86eb026518f537642d75cec5d26c7__粽子菇__v480__glasses__09e00568__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__2542b9c5635f6f39a49c3380e72384f78fd1c0d8__汉堡菇__v238__eyemask__4cce5059__c0.mp4,bad,还原度;不合理的物体,exact-r2,2542b9c5635f6f39a49c3380e72384f78fd1c0d8,exact,2542b9c5635f6f39a49c3380e72384f78fd1c0d8__汉堡菇__v238__eyemask__4cce5059__c0,sku-2.0-props-matrix-untriggered-0728,good
base-noprop__068f87e6d8c098db1a68eaff2a959baa9dd07959__毒蘑菇__v0__6945910b__c0.mp4,bad,还原度,base-noprop,068f87e6d8c098db1a68eaff2a959baa9dd07959,exact,068f87e6d8c098db1a68eaff2a959baa9dd07959__毒蘑菇__v0__6945910b__c0,sku-2.0-noprop-merged-0721,bad
base-noprop__f64e1c17ba334819ca417f708e64e97d2aba7b05__爆炸菇（爆炸后）__v0__87b92abb__c0.mp4,normal,,base-noprop,f64e1c17ba334819ca417f708e64e97d2aba7b05,source_only,f64e1c17ba334819ca417f708e64e97d2aba7b05__海滩__v0__4a126e03__c0,tutu-insert-sft-0709,normal
exact-r1__3296e3025fe5db65ce1e18e8abd3114afdfdc5da__爆炸菇（爆炸后）__v335__coffee__0714808a__c0.mp4,normal,,exact-r1,3296e3025fe5db65ce1e18e8abd3114afdfdc5da,exact,3296e3025fe5db65ce1e18e8abd3114afdfdc5da__爆炸菇（爆炸后）__v335__coffee__0714808a__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r2__63c6cd5b6ce97c724c348a679627c9f637af97f7__毒蘑菇__v627__scooter__2948a84e__c0.mp4,bad,还原度;不合理的物体,exact-r2,63c6cd5b6ce97c724c348a679627c9f637af97f7,exact,63c6cd5b6ce97c724c348a679627c9f637af97f7__毒蘑菇__v627__scooter__2948a84e__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__a9816777eac0a4b87543f0fe4ad36edf6b92ca8e__吐司菇__v1049__crown__a8d4e42e__c0.mp4,bad,还原度,exact-r2,a9816777eac0a4b87543f0fe4ad36edf6b92ca8e,exact,a9816777eac0a4b87543f0fe4ad36edf6b92ca8e__吐司菇__v1049__crown__a8d4e42e__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r1__967be5bf93e2191527c35a951f196af47aae0dc9__毒蘑菇__v937__bubble__56580119__c0.mp4,bad,不合理的物体;物理规律,exact-r1,967be5bf93e2191527c35a951f196af47aae0dc9,exact,967be5bf93e2191527c35a951f196af47aae0dc9__毒蘑菇__v937__bubble__56580119__c0,sku-2.0-props-matrix-untriggered-0728,bad
generic__961bd0e7dc5dec1e77f826ad3f88dc97e2021663__汉堡菇__v606__glasses__ec6f851a__c0.mp4,bad,不合理的物体;还原度,generic,961bd0e7dc5dec1e77f826ad3f88dc97e2021663,none,,,
base-noprop__930af50238c37ebaf442e48b5cf1fdd56a6c5adb__汉堡菇__v0__3b72956b__c0.mp4,bad,还原度,base-noprop,930af50238c37ebaf442e48b5cf1fdd56a6c5adb,exact,930af50238c37ebaf442e48b5cf1fdd56a6c5adb__汉堡菇__v0__3b72956b__c0,sku-2.0-noprop-merged-0721,bad
exact-r2__f4391007a9614180b36c5a425ae726846b1ea5a6__蘑菇力__v1539__eyemask__009061a7__c0.mp4,bad,不合理的物体;还原度,exact-r2,f4391007a9614180b36c5a425ae726846b1ea5a6,exact,f4391007a9614180b36c5a425ae726846b1ea5a6__蘑菇力__v1539__eyemask__009061a7__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__1db18ca5323487563ceb952534de9a3b9af8d9f2__毒蘑菇__v184__coffee__25151478__c0.mp4,bad,还原度,exact-r1,1db18ca5323487563ceb952534de9a3b9af8d9f2,exact,1db18ca5323487563ceb952534de9a3b9af8d9f2__毒蘑菇__v184__coffee__25151478__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__4684d4e3cc283d2f82a830567f416163b041076b__粽子菇__v446__scooter__0f8c7e43__c0.mp4,bad,物理规律,exact-r2,4684d4e3cc283d2f82a830567f416163b041076b,exact,4684d4e3cc283d2f82a830567f416163b041076b__粽子菇__v446__scooter__0f8c7e43__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-noprop__746da3c174acbb5da8858bffe05b68335dae3406__汉堡菇__v0__f742b2a7__c0.mp4,bad,首帧一致;还原度,base-noprop,746da3c174acbb5da8858bffe05b68335dae3406,exact,746da3c174acbb5da8858bffe05b68335dae3406__汉堡菇__v0__f742b2a7__c0,sku-2.0-noprop-merged-0721,bad
base-noprop__0b9d7a9da15b27871886a629df50e17677f0c915__炸虾菇__v0__23adc1a5__c0.mp4,bad,还原度,base-noprop,0b9d7a9da15b27871886a629df50e17677f0c915,source_only,0b9d7a9da15b27871886a629df50e17677f0c915__汉堡菇__v0__abe94fa7__c0,sku-2.0-noprop-merged-0721,bad
base-noprop__1d5a1c958b3030b64164f55cfb9fdefdf2716651__毒蘑菇__v0__5aa3164d__c0.mp4,normal,,base-noprop,1d5a1c958b3030b64164f55cfb9fdefdf2716651,source_only,1d5a1c958b3030b64164f55cfb9fdefdf2716651__base__v0__27e2781c__c0,sku-1.0-daily-noprop-0802,bad
generic__45160a3209fab0c464a72ff9098bde522b4e0264__爆炸菇（爆炸前）__v254__scooter__4a80b0c1__c0.mp4,bad,还原度,generic,45160a3209fab0c464a72ff9098bde522b4e0264,source_only,45160a3209fab0c464a72ff9098bde522b4e0264__海滩__v254__flag__d3e6fd14__c0,sku-1.1-party-props-matrix-untriggered-0731,good
exact-r1__b7d6465a8b59608365b430ec044d2fd40916aca4__蘑菇力__v1146__crown__d5a033a7__c0.mp4,normal,,exact-r1,b7d6465a8b59608365b430ec044d2fd40916aca4,exact,b7d6465a8b59608365b430ec044d2fd40916aca4__蘑菇力__v1146__crown__d5a033a7__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__3ea8cf079e959693153dd04695b6f05e21f1dca3__毒蘑菇__v0__cd5fa161__c0.mp4,normal,,base-noprop,3ea8cf079e959693153dd04695b6f05e21f1dca3,none,,,
exact-r1__017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0.mp4,bad,还原度,exact-r1,017c59f65cabc241c9ef5990259d488a7becfff0,exact,017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r2__d1758c15bc02c270105a3d17b4eb3accdc5cee71__蘑菇力__v1300__bubble__af98eeec__c0.mp4,bad,物理规律,exact-r2,d1758c15bc02c270105a3d17b4eb3accdc5cee71,exact,d1758c15bc02c270105a3d17b4eb3accdc5cee71__蘑菇力__v1300__bubble__af98eeec__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__29f679c8be6e6b658cdfb3ab8df8254b60f131e5__蘑菇力__v272__flag__86d422b6__c0.mp4,normal,,exact-r1,29f679c8be6e6b658cdfb3ab8df8254b60f131e5,exact,29f679c8be6e6b658cdfb3ab8df8254b60f131e5__蘑菇力__v272__flag__86d422b6__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__06fa761f552f4726608d396cd74b9485f90f0510__爆炸菇（爆炸前）__v44__crown__bb179f3c__c0.mp4,bad,还原度;衣服/身体的时间一致性,exact-r2,06fa761f552f4726608d396cd74b9485f90f0510,exact,06fa761f552f4726608d396cd74b9485f90f0510__爆炸菇（爆炸前）__v44__crown__bb179f3c__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-props__1a5e9e21aa5ab5837e37e1d632efa039b57aab7f__蘑菇力__v94__coffee__9813a98c__c0.mp4,normal,,base-props,1a5e9e21aa5ab5837e37e1d632efa039b57aab7f,source_only,1a5e9e21aa5ab5837e37e1d632efa039b57aab7f__TUPV6002__v0__03e0cd39__c0,sku-1.0-daily-noprop-0802,bad
base-noprop__1f66a501aba063a2796ee4f1f4d6082295197784__蘑菇力__v0__bfd0d9e4__c0.mp4,normal,,base-noprop,1f66a501aba063a2796ee4f1f4d6082295197784,source_only,1f66a501aba063a2796ee4f1f4d6082295197784__TUPV6005__v0__6ada138b__c0,sku-1.0-daily-noprop-0802,bad
base-noprop__068f87e6d8c098db1a68eaff2a959baa9dd07959__蘑菇力__v0__80996da1__c0.mp4,normal,,base-noprop,068f87e6d8c098db1a68eaff2a959baa9dd07959,source_only,068f87e6d8c098db1a68eaff2a959baa9dd07959__TUPV6005__v0__01f09d0f__c0,sku-1.0-daily-noprop-0802,bad
exact-r1__49fef35b1c962aa22fdd2b3411e53134117a62b6__毒蘑菇__v473__eyemask__fe8ce2b8__c0.mp4,normal,,exact-r1,49fef35b1c962aa22fdd2b3411e53134117a62b6,exact,49fef35b1c962aa22fdd2b3411e53134117a62b6__毒蘑菇__v473__eyemask__fe8ce2b8__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r1__b656711495e9904b44ee1e7c04c210b83cd2ed74__毒蘑菇__v1134__crown__0574677e__c0.mp4,bad,大小变化,exact-r1,b656711495e9904b44ee1e7c04c210b83cd2ed74,exact,b656711495e9904b44ee1e7c04c210b83cd2ed74__毒蘑菇__v1134__crown__0574677e__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c__汉堡菇__v1361__flag__17c31c4e__c0.mp4,normal,,exact-r1,d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c,exact,d9b45e907f3f46e26cc2c0c367c828a5ba9ab34c__汉堡菇__v1361__flag__17c31c4e__c0,sku-2.0-props-matrix-untriggered-0728,normal
exact-r1__55d0a552371088436d3780e0920102745a9833f1__汉堡菇__v546__scooter__2d2219a1__c0.mp4,normal,,exact-r1,55d0a552371088436d3780e0920102745a9833f1,exact,55d0a552371088436d3780e0920102745a9833f1__汉堡菇__v546__scooter__2d2219a1__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-noprop__51be5b142d9021a3c446702d354fabdf42630fa9__蘑菇力__v0__a429805f__c0.mp4,good,,base-noprop,51be5b142d9021a3c446702d354fabdf42630fa9,exact,51be5b142d9021a3c446702d354fabdf42630fa9__蘑菇力__v0__a429805f__c0,sku-2.0-noprop-merged-0721,good
exact-r1__c14746cc7fb4e3b79deb72aaeea20c288e6ac46f__爆炸菇（爆炸前）__v1205__coffee__60eb71a2__c0.mp4,bad,还原度;衣服/身体的时间一致性,exact-r1,c14746cc7fb4e3b79deb72aaeea20c288e6ac46f,exact,c14746cc7fb4e3b79deb72aaeea20c288e6ac46f__爆炸菇（爆炸前）__v1205__coffee__60eb71a2__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-props__cb05660c4b262902ff02becd82b2bbb621c9edbf__吐司菇__v791__eyemask__d3393fa2__c0.mp4,bad,还原度,base-props,cb05660c4b262902ff02becd82b2bbb621c9edbf,none,,,
base-noprop__45ec56f5f20bca20bb45a07b0652cb24f9a8a27f__蘑菇力__v0__f2e75d8c__c0.mp4,bad,衣服/身体的时间一致性;不合理的物体,base-noprop,45ec56f5f20bca20bb45a07b0652cb24f9a8a27f,source_only,45ec56f5f20bca20bb45a07b0652cb24f9a8a27f__海滩__v259__eyemask__a81e1afb__c0,sku-1.1-party-props-matrix-untriggered-0731,bad
exact-r1__38b58dfa04037a8d4c73a738d8fd4058766e8609__粽子菇__v370__flag__4e1cd0d3__c0.mp4,bad,还原度,exact-r1,38b58dfa04037a8d4c73a738d8fd4058766e8609,exact,38b58dfa04037a8d4c73a738d8fd4058766e8609__粽子菇__v370__flag__4e1cd0d3__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__24fd5a5b571589bad02d82bc90600f51cc7bcb81__汉堡菇__v233__eyemask__dfe13e5a__c0.mp4,bad,不合理的物体,exact-r2,24fd5a5b571589bad02d82bc90600f51cc7bcb81,exact,24fd5a5b571589bad02d82bc90600f51cc7bcb81__汉堡菇__v233__eyemask__dfe13e5a__c0,sku-2.0-props-matrix-untriggered-0728,good
exact-r1__986d912c264847e31c8f18a969d28d6c5bfafc3a__毒蘑菇__v943__bubble__ecab9665__c0.mp4,bad,物理规律,exact-r1,986d912c264847e31c8f18a969d28d6c5bfafc3a,exact,986d912c264847e31c8f18a969d28d6c5bfafc3a__毒蘑菇__v943__bubble__ecab9665__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r2__929b65b28d7fc5f68d6f799d9d758150e4b1155d__爆炸菇（爆炸前）__v914__flag__3302281d__c0.mp4,bad,还原度,exact-r2,929b65b28d7fc5f68d6f799d9d758150e4b1155d,exact,929b65b28d7fc5f68d6f799d9d758150e4b1155d__爆炸菇（爆炸前）__v914__flag__3302281d__c0,sku-2.0-props-matrix-untriggered-0728,bad
